lead_id,campaign_id,audience_id,first_name,last_name,email,phone,company,job_title,industry,company_size,lead_source,lead_score,status,created_date,last_activity,converted_date,country,state,city,utm_source,utm_medium,utm_campaign
1,41,7,Sarah,Hill,daniellopez@example.net,+1-949-499-3933x051,"Mathis, Harrison and Banks",Educational psychologist,Government,6349,Events,63,Converted,2024-05-21,2024-06-18,2024-08-09,American Samoa,Louisiana,Walkerborough,events,social,display_campaign_41
2,5,5,Gregory,Blevins,fcamacho@example.net,273-366-0965x69998,Bryant-Rich,Financial trader,Retail,8813,Influencer,51,Nurturing,2024-05-10,2024-08-05,,Norfolk Island,Arkansas,West Scott,influencer,paid,social_media_campaign_5
3,50,4,Maria,Murray,dphillips@example.net,927.271.8129x82665,Chavez Ltd,"Engineer, drilling",Education,1478,Influencer,33,Contacted,2024-10-27,2024-12-21,2024-12-03,British Virgin Islands,Colorado,Lake Shannonstad,influencer,email,email_campaign_50
4,34,7,Jasmine,Acosta,nicholasjames@example.org,492-522-2064x47421,Dean LLC,"Administrator, charities/voluntary organisations",Education,8154,Events,64,Disqualified,2024-06-25,2024-08-18,,Dominica,Indiana,Chavezmouth,events,email,seo_campaign_34
5,39,3,Carol,Sanchez,christine83@example.org,(620)750-2099,Williams Group,"Editor, magazine features",Healthcare,4660,Content Marketing,79,Nurturing,2023-10-28,2024-04-19,,Christmas Island,New Jersey,Sarahland,content_marketing,paid,email_campaign_39
6,21,1,Miguel,Gray,changmegan@example.org,372-314-5868x3390,Ramsey-Jacobs,Holiday representative,Education,9976,Influencer,41,Contacted,2024-01-20,2024-12-27,,Vanuatu,Florida,Stonefort,influencer,organic,content_marketing_campaign_21
7,12,4,Nicole,Hall,tiffany01@example.org,513.696.6055x830,Tyler-Parker,Risk manager,Retail,5308,Events,99,New,2023-11-21,2024-03-13,,Saint Kitts and Nevis,Oregon,Port Gregorymouth,events,paid,seo_campaign_12
8,44,7,Timothy,Wells,brewertimothy@example.net,285.576.0849x588,"Jennings, Marsh and Barron",Manufacturing systems engineer,Technology,2447,Influencer,36,New,2024-02-24,2024-04-16,,Tajikistan,Hawaii,Lopezville,influencer,paid,content_marketing_campaign_44
9,46,6,Michaela,Mckinney,robert73@example.com,243.984.2150x317,"Moore, Peterson and Webb","Scientist, research (physical sciences)",Finance,5364,Social Media,19,New,2023-07-25,2024-11-28,,Bulgaria,Indiana,South Paulhaven,social_media,email,display_campaign_46
10,1,2,Larry,Williams,cookpamela@example.org,340.694.3533x44857,Moore Inc,"Administrator, local government",Retail,9169,Display,66,New,2024-04-12,2024-07-12,,Faroe Islands,Georgia,Audreyburgh,display,email,content_marketing_campaign_1
11,20,1,Christina,Morgan,bwilliams@example.com,+1-601-760-1662x99795,Marquez Ltd,"Social research officer, government",Technology,7630,Influencer,73,Qualified,2024-07-03,2024-11-25,,Lao People's Democratic Republic,Connecticut,Collinsmouth,influencer,organic,events_campaign_20
12,15,2,Stacey,Thomas,roberta62@example.net,+1-755-477-0171x57724,"Garcia, Roth and Robles","Journalist, magazine",Retail,1163,Paid Search,39,Disqualified,2023-08-17,2024-05-20,,Niger,Kansas,South Patrick,paid_search,paid,events_campaign_15
13,14,3,Lisa,Garza,vbradley@example.net,001-332-919-7199x758,Parker Group,Building control surveyor,Retail,1782,Social Media,88,Disqualified,2024-04-10,2024-05-05,,Oman,Texas,North Jeffberg,social_media,referral,social_media_campaign_14
14,49,2,Daisy,Smith,donnachavez@example.com,(299)873-3549x4651,Phelps Inc,Merchant navy officer,Retail,871,Display,1,Nurturing,2024-12-22,2024-12-30,2024-12-28,Tonga,Alaska,South Jacqueline,display,organic,content_marketing_campaign_49
15,41,7,Louis,Reyes,ngraham@example.net,(672)438-6562,Smith Ltd,"Administrator, sports",Healthcare,7975,Events,85,Converted,2024-09-12,2024-06-04,2024-10-05,Israel,New Jersey,Hansonmouth,events,referral,display_campaign_41
16,28,1,Andrea,Cole,jeremiah69@example.org,001-273-284-6895,"Webb, Richardson and Carpenter",Cartographer,Healthcare,8625,Display,97,Contacted,2024-12-19,2024-12-19,,Benin,Kansas,Mccoyland,display,referral,influencer_campaign_28
17,38,7,Larry,Brown,amanda07@example.com,279.956.5442x09494,"Jackson, Williams and Mooney",Aid worker,Finance,7943,Direct Mail,11,Qualified,2023-11-20,2024-10-30,,El Salvador,Florida,Joshuaview,direct_mail,email,seo_campaign_38
18,48,7,Daniel,Thompson,donnawood@example.org,837-828-0512x927,Guerrero Ltd,Diplomatic Services operational officer,Healthcare,9466,Social Media,94,Contacted,2023-07-10,2023-11-13,2023-07-17,Kyrgyz Republic,Montana,Turnerside,social_media,social,seo_campaign_48
19,25,2,Frances,Price,dustin60@example.com,665.680.1856x945,Scott PLC,"Nurse, adult",Education,3962,Direct Mail,94,Nurturing,2024-11-18,2024-10-12,,Philippines,Vermont,West Amy,direct_mail,email,paid_search_campaign_25
20,5,5,Alexander,Davis,jenningsmichael@example.net,343-400-9109x3911,Douglas-Yoder,Systems developer,Government,3028,Influencer,15,Nurturing,2024-06-04,2024-07-13,,Vietnam,California,Livingstonview,influencer,organic,social_media_campaign_5
21,45,1,Rebecca,Carrillo,jonathan14@example.org,(465)904-4271x7396,Thomas Group,Engineering geologist,Retail,1741,Direct Mail,57,Nurturing,2023-09-02,2023-07-17,2024-05-08,El Salvador,Wyoming,Smithfort,direct_mail,social,influencer_campaign_45
22,42,1,Danielle,Fitzpatrick,sadams@example.com,(990)387-7661x8306,"Nichols, Frey and Cook",Immunologist,Education,905,Direct Mail,81,Nurturing,2024-03-21,2024-08-08,,Belgium,New Jersey,Deborahburgh,direct_mail,referral,direct_mail_campaign_42
23,3,7,Tammy,Guerrero,heather15@example.com,973-820-3093,Sparks Ltd,Insurance account manager,Education,8749,Influencer,58,New,2023-03-11,2023-04-15,,Armenia,Montana,East Lindsayhaven,influencer,organic,seo_campaign_3
24,44,7,Molly,Herrera,sandyjohnson@example.org,407.390.3202x0417,Wilson PLC,Warden/ranger,Healthcare,1034,Influencer,26,Converted,2024-02-24,2024-10-24,,Philippines,Montana,Davidshire,influencer,referral,content_marketing_campaign_44
25,9,5,Marc,Oconnell,kathrynwatkins@example.com,914-526-2582,"Williams, Garcia and Boone",Video editor,Education,2585,Webinars,3,Converted,2023-11-29,2023-11-16,2024-08-31,Nauru,Maine,Steelefort,webinars,social,content_marketing_campaign_9
26,14,3,Douglas,Nelson,ljenkins@example.net,001-509-527-9145x608,Downs Inc,Water engineer,Finance,8843,Social Media,65,Qualified,2024-02-22,2024-08-09,,Falkland Islands (Malvinas),Arkansas,North Laura,social_media,organic,social_media_campaign_14
27,32,4,Gregory,Santiago,brownmichael@example.org,(345)397-0108x22078,Griffith PLC,TEFL teacher,Finance,6866,Influencer,26,Nurturing,2023-05-15,2023-09-07,,Bouvet Island (Bouvetoya),Massachusetts,North Joel,influencer,organic,events_campaign_32
28,13,5,Nicholas,Walker,drichards@example.com,(539)772-6527,Harris-Martinez,"Teacher, adult education",Technology,4598,SEO,18,New,2024-05-26,2024-08-06,2024-10-27,Cyprus,Maine,Port Laura,seo,referral,email_campaign_13
29,11,2,Belinda,Tran,christophervincent@example.com,797.874.0633,"Walker, Pennington and Shah","Teacher, secondary school",Technology,6845,Events,6,New,2024-11-18,2024-11-14,,Antigua and Barbuda,Nevada,Mendozaville,events,organic,paid_search_campaign_11
30,32,4,John,Hansen,steelerichard@example.org,(954)231-0742,Ford-Taylor,"Optician, dispensing",Healthcare,6069,Influencer,81,Converted,2023-05-20,2023-01-18,,Barbados,Missouri,Alyssaport,influencer,organic,events_campaign_32
31,49,2,Joseph,Shah,kristinmiller@example.com,001-408-350-1657x9055,"Fletcher, Harris and Zavala",Field trials officer,Retail,1861,Display,84,Converted,2024-12-24,2024-12-27,,Cote d'Ivoire,Wisconsin,West Michael,display,paid,content_marketing_campaign_49
32,33,7,Erin,Ramirez,watsonshaun@example.net,817.488.4795x13711,Mullen-Jones,"Development worker, international aid",Finance,1836,Display,90,Qualified,2024-07-24,2024-12-09,,Zambia,South Dakota,West Robertside,display,social,direct_mail_campaign_33
33,31,3,Michael,Wallace,carterbryan@example.org,456.695.5798x87749,Mccormick and Sons,Radio broadcast assistant,Finance,4721,Paid Search,99,New,2023-12-01,2024-03-14,2024-07-28,Central African Republic,Virginia,Ianburgh,paid_search,social,events_campaign_31
34,11,2,John,Williams,autumn74@example.com,(438)605-5257,Knapp Group,Restaurant manager,Government,2382,Events,59,Contacted,2024-07-29,2024-12-25,,Madagascar,Michigan,Thomasport,events,referral,paid_search_campaign_11
35,43,6,Dylan,Cunningham,hmorgan@example.net,702.281.4069x3751,"Davidson, Silva and Walker",Health physicist,Healthcare,370,Social Media,11,Disqualified,2024-03-02,2024-07-29,2024-12-19,India,Illinois,Stewarthaven,social_media,email,seo_campaign_43
