customer_id,company_name,contact_name,email,phone,industry,company_size,segment_id,customer_tier,signup_date,last_interaction,country,state,city,annual_revenue,decision_makers
1,Hughes Inc,Alfred Galvan,lacey20@example.com,827.379.0104x3289,Government,4730,2,Gold,2023-03-30,2023-06-24,Northern Mariana Islands,South Carolina,Brownfort,9093490,1
2,"Robertson, Allen and Thomas",Lucas Allen,qlopez@example.org,651.288.8880x67065,Finance,1116,3,Silver,2024-06-19,2024-04-03,Sierra Leone,Pennsylvania,Dennisstad,9260590,6
3,"Thompson, Maxwell and Marshall",Lynn Cain,baldwinsherry@example.org,530-630-5486x8740,Finance,793,6,Gold,2023-07-19,2024-08-06,Jordan,Montana,Klinefurt,5788090,3
4,Holt-Richardson,Debra Miller,mmiller@example.org,+1-845-411-5447,Manufacturing,7282,3,Platinum,2023-01-31,2024-09-27,Guinea,South Carolina,Hillton,1358981,7
5,Palmer-Brady,Andre Allison,ejohnson@example.org,001-455-769-0927x55719,Education,5160,6,Gold,2023-07-02,2023-03-24,Saint Pierre and Miquelon,Idaho,Holmesside,2075701,5
6,Padilla-Lewis,Melissa Lutz,davidfarrell@example.com,(671)455-1884,Manufacturing,2862,3,Silver,2023-03-30,2023-05-27,Burundi,Kansas,Johnsonside,9701221,6
7,Lara-Arnold,Angelica Parker,xfox@example.com,001-412-451-7785,Government,2124,4,Bronze,2024-08-29,2024-01-14,Gabon,Hawaii,West Sarah,3882763,6
8,"Jacobson, Singleton and King",Krista Martinez,christina18@example.net,(299)222-9959,Technology,754,6,Gold,2024-04-20,2024-07-13,Israel,South Carolina,South Pamelaside,4959883,5
9,Sanchez-Aguirre,Jesse Barker,scottwashington@example.org,992-355-5625x88153,Finance,7376,2,Silver,2023-03-12,2023-07-31,Hungary,South Carolina,Wrightburgh,5593461,10
10,"Edwards, Hines and Jimenez",Kathleen Parker,davisphillip@example.com,939.650.0479,Retail,143,1,Platinum,2023-04-08,2023-07-13,Haiti,Wisconsin,Diazfurt,958283,10
11,"Lee, Tran and Jones",Pamela Ramirez,andersoncolin@example.com,985-923-9868x00025,Healthcare,9942,5,Silver,2023-08-28,2024-03-23,Central African Republic,Montana,Brittneyhaven,8651583,9
12,Erickson-Evans,Isabella Nunez,ysilva@example.net,001-809-474-9930x972,Government,3978,1,Bronze,2023-05-20,2023-11-18,Italy,Georgia,Vaughnchester,8519134,10
13,Salas-Fitzgerald,Charles Clark,whitney78@example.com,627-585-8549x73348,Finance,4745,6,Silver,2024-05-18,2023-12-23,Lesotho,Minnesota,Keithshire,9213230,7
14,Cardenas-Blevins,Donna Roberts,reedscott@example.com,001-573-238-4842x1993,Manufacturing,8710,2,Silver,2023-02-08,2023-10-29,Saint Barthelemy,New Mexico,Lake Kellitown,9333383,3
15,Delgado-Gilmore,Matthew Avila,manuel01@example.net,001-938-402-6206,Manufacturing,4752,1,Bronze,2023-08-06,2024-03-16,Vanuatu,Michigan,Shawnside,8896605,8
16,Rosales Group,Robert Rivera,twong@example.org,7543932966,Education,1572,2,Silver,2023-12-15,2024-11-14,Albania,Kentucky,Youngview,5630194,5
17,"Sharp, Smith and Valdez",Amy Wilson,erik84@example.net,945-793-3272,Education,9008,4,Silver,2024-07-10,2024-05-11,Nepal,Colorado,Ricestad,1410346,10
18,Brown PLC,Christina Herrera,markmeyer@example.org,+1-239-971-8707x28679,Manufacturing,5059,6,Bronze,2023-10-17,2024-08-19,Samoa,Indiana,North Rodneyland,9179216,1
19,Andersen Group,Jason Mack,ybrooks@example.com,(261)282-5128x6823,Finance,7595,6,Platinum,2024-01-24,2024-08-24,Egypt,New Jersey,Ericborough,1993218,1
20,"Barnes, Miranda and Stephenson",Daniel Garcia,griffinemily@example.org,606.573.8302,Government,9448,3,Gold,2023-06-22,2024-10-01,Panama,North Dakota,South Kevin,1122699,9
21,"Hobbs, Buck and Garrett",Jon Compton,ufloyd@example.net,(862)846-2873x34270,Retail,8693,2,Platinum,2023-06-27,2023-05-29,Oman,Colorado,Booneland,9086473,4
22,Adams Ltd,Amanda Jones,timothybooth@example.com,603-831-7393x6385,Education,8753,6,Gold,2023-08-14,2023-09-20,Turkmenistan,New York,Garciafort,5472622,4
23,Edwards-Williams,Natalie Smith,mphillips@example.com,969.937.8547,Healthcare,5780,2,Silver,2024-06-09,2023-12-23,United States Virgin Islands,Ohio,New Arthurland,913936,1
24,Taylor-Mccoy,Chris Robinson,nbrooks@example.net,+1-697-270-0886x00848,Retail,7064,2,Bronze,2024-11-01,2024-01-18,Dominican Republic,Illinois,Lisaview,6758817,2
25,Chung-Stevens,Michael Evans,valdezmichele@example.org,366-968-7002,Government,7119,6,Gold,2024-02-18,2024-09-18,Bhutan,North Dakota,East Jasonshire,8077571,5
26,Glass Ltd,Stephanie Elliott,whitemelissa@example.org,892.761.4293,Education,2302,6,Bronze,2024-01-01,2024-12-12,Austria,Connecticut,Hallland,5814198,10
27,"Friedman, Sanders and Ayala",Donald Riddle,jperez@example.com,(829)761-9431x14262,Finance,1755,1,Bronze,2024-11-19,2023-11-21,Senegal,Louisiana,East Christopherchester,7630347,9
28,"Hunt, Garcia and Davis",Linda Mueller,asmith@example.com,001-418-339-8262x24447,Healthcare,7131,3,Platinum,2023-08-07,2024-07-25,Guyana,Kentucky,Lake Colleen,3380754,8
29,Taylor Inc,Evelyn Oliver,scott69@example.org,759-837-5265x4793,Finance,6447,3,Bronze,2024-11-11,2023-05-26,Mayotte,Idaho,Lake Stevenborough,7456053,5
30,"Jones, Abbott and Pope",Brenda Turner,donna66@example.org,397.396.8868x058,Government,4077,6,Gold,2023-05-02,2024-03-23,Mongolia,Tennessee,Rasmussenmouth,7321845,2
31,Garcia and Sons,Kelly Carpenter,seanmyers@example.net,001-382-350-7146,Government,2331,3,Gold,2023-09-08,2024-07-26,Mali,New Mexico,Thomasmouth,7690804,6
32,Evans Ltd,Samuel Wong,sarahyang@example.net,(482)458-6736,Manufacturing,7090,4,Bronze,2024-06-22,2024-10-06,Korea,Pennsylvania,Priceborough,3552490,5
33,"Stokes, Brown and Garcia",Chelsea Nguyen,qwilson@example.com,359.469.6915x57924,Finance,1941,2,Gold,2023-03-27,2023-09-30,Cambodia,North Carolina,Barnesberg,9743645,7
34,Lopez-Reid,Maria Cooke,tracytaylor@example.com,890.950.7236x887,Education,7282,4,Silver,2023-03-02,2023-01-23,Senegal,Iowa,Antoniobury,9119575,5
35,Norman PLC,Pamela Dunn,armstrongjoseph@example.net,(680)778-3613x407,Government,1435,4,Bronze,2024-07-20,2023-06-22,Sudan,West Virginia,Michellechester,2884709,10
36,Glover and Sons,Laura Patel,mariopadilla@example.com,001-448-512-6042,Healthcare,5287,2,Platinum,2023-12-24,2024-02-26,Ethiopia,South Dakota,Brooksland,1661871,7
37,"Brady, Neal and Wiley",John Perkins,simonstephen@example.net,001-751-486-3637x454,Retail,7961,3,Bronze,2023-02-03,2024-04-02,Taiwan,New Jersey,North Sarahburgh,7503549,8
38,Braun Group,Michael Anderson,erik41@example.net,(241)552-0643x611,Education,1286,2,Silver,2024-01-15,2023-11-21,Algeria,Vermont,Lisachester,2317531,8
39,Perez Inc,Ashley Edwards,derrick22@example.org,390.492.7532x69731,Government,2027,5,Platinum,2023-09-14,2023-11-10,Somalia,Florida,West Deanna,4263551,9
40,"Greene, Lawson and Maxwell",Sarah Barrett,jamie98@example.org,001-264-703-7613x7918,Finance,2172,4,Platinum,2023-09-24,2024-05-13,Serbia,New Mexico,North Brendatown,4498739,4
41,Livingston Group,Lori Mason,zhenderson@example.org,+1-788-892-4141x8328,Retail,1093,3,Platinum,2024-06-16,2024-09-09,Azerbaijan,Kansas,South Darrenton,5289026,3
42,Smith and Sons,Carla Benton,gary24@example.net,305-964-8149,Education,8378,3,Bronze,2023-12-31,2024-02-18,Heard Island and McDonald Islands,Hawaii,Kerrishire,2034976,4
43,"Hicks, Williams and Roy",John Reyes,haroldhorne@example.org,+1-763-353-6541,Retail,872,2,Silver,2024-08-10,2024-12-17,Zimbabwe,Montana,South Michelleport,5591198,2
44,"Bryant, Wood and Carter",Nancy Sanchez,brittany73@example.net,+1-232-706-0385,Technology,6174,6,Gold,2023-03-17,2024-01-22,Dominica,Nebraska,Woodwardberg,4794689,2
45,Morse PLC,Steven Ellis,carpenterwilliam@example.net,(719)990-6234x4565,Finance,3837,1,Silver,2023-04-10,2024-07-16,Botswana,Georgia,East Shannonmouth,6920148,2
46,"Howard, Townsend and Hayes",Samuel Davis,margaret90@example.org,521-335-6804x42067,Education,1679,2,Bronze,2023-01-09,2024-08-29,Cyprus,Florida,Port Richard,1509947,10
47,"Green, Hess and Johnson",Steven Ramos,christopherboone@example.com,207-802-9667,Manufacturing,7000,2,Gold,2023-06-06,2023-05-17,Fiji,New Hampshire,North Christina,4223584,5
48,Jenkins-Pierce,Douglas Taylor,dawnrobles@example.org,+1-680-465-7875x9856,Technology,5234,5,Silver,2023-01-22,2024-08-14,Fiji,Arkansas,Morenoshire,4005100,3
49,Wright and Sons,Robert Stark,gallagherstacie@example.net,(452)523-9559x0599,Government,8074,5,Gold,2023-05-09,2023-01-28,Azerbaijan,Iowa,North Alisha,111467,6
50,"Harris, Anderson and Love",Sarah Morris,hernandezjanet@example.org,001-818-951-5691x54522,Manufacturing,5208,2,Gold,2023-06-12,2024-03-05,China,Missouri,Jessicaport,2236551,3
51,"Smith, Miles and Berry",Patricia Bradley,carriemccall@example.net,791.472.5135,Manufacturing,1463,6,Gold,2023-11-23,2023-07-13,Egypt,Vermont,West Jonathanville,121494,1
52,Kim-Barnes,Jason Macias,amy17@example.net,+1-432-871-0405x4115,Healthcare,1238,5,Bronze,2023-09-04,2024-12-20,Uganda,New Mexico,South Sherriburgh,7384673,3
53,Garcia and Sons,Jennifer Spencer,donna43@example.org,8693872050,Finance,9843,4,Silver,2023-03-12,2023-06-01,Northern Mariana Islands,Maine,South Meganport,6768395,8
54,Jacobson-Baker,Jasmine Watson,cwood@example.org,877-543-4902x115,Retail,1009,4,Platinum,2024-12-05,2024-05-16,Vietnam,New Mexico,South Kent,6723718,1
55,"Duncan, Black and Duncan",Mrs. Tiffany Cole,teresastokes@example.org,3613632945,Education,9125,4,Gold,2024-09-17,2024-01-15,United States Virgin Islands,Alabama,Rodriguezberg,2586379,10
56,"Aguilar, Hanna and Garcia",Richard Floyd,natalie46@example.net,899.770.2462x9960,Manufacturing,3902,1,Platinum,2024-11-03,2024-10-16,Angola,Michigan,Larryfort,1747814,4
57,Turner Ltd,Roger Adams,fjacobs@example.org,836.478.5082x148,Government,8599,5,Bronze,2023-05-07,2024-09-30,Cook Islands,Arkansas,North Stephen,6146090,4
58,Richardson-Marshall,Thomas Maldonado,nathanwheeler@example.org,598.555.2414x0602,Manufacturing,3698,6,Silver,2023-07-16,2023-10-26,Angola,Wyoming,South Rhondaburgh,241997,4
59,Franklin-Hahn,Michelle Hill,dyork@example.com,774.689.6910,Finance,1781,4,Bronze,2023-09-03,2023-07-21,Greece,Louisiana,Dianaport,3260157,3
60,"Cannon, Yoder and Trujillo",Lindsay Guerrero,jenniferrios@example.com,766-660-9935x387,Government,2795,6,Silver,2023-08-03,2023-12-10,Saint Vincent and the Grenadines,Kentucky,Lake Rachel,1598202,4
61,Walker-Savage,Stephen Watson,steven17@example.org,+1-299-491-7381x6846,Healthcare,3291,3,Platinum,2024-12-21,2024-10-13,Kuwait,Georgia,Michelleburgh,1455791,8
62,Welch-Thompson,Abigail Hill,barbaramoore@example.org,(296)566-6760,Manufacturing,6122,1,Gold,2024-07-06,2024-01-23,Andorra,Utah,Lake Jessicabury,5877230,5
63,Garcia PLC,Carol Colon,stacy78@example.net,556.225.7532x60332,Retail,8277,2,Bronze,2023-09-25,2024-04-19,Argentina,Missouri,Kelseyton,904641,2
64,"Huff, Williams and Wilson",Caleb King,jamiejennings@example.org,661-384-9926x1891,Government,1751,4,Silver,2024-03-20,2024-07-21,Switzerland,North Dakota,West Jade,5055170,3
65,Kelley and Sons,Karen Young,powersrebecca@example.net,+1-372-418-1143x74470,Government,656,3,Gold,2024-08-08,2023-08-17,Saint Vincent and the Grenadines,Delaware,Port Katherineton,262274,3
66,"Holland, Murphy and Kline",Debra Quinn,lisa21@example.com,(974)967-6212x0216,Healthcare,6231,3,Bronze,2024-09-21,2024-10-04,Saint Lucia,Florida,Knappville,7000204,8
67,Brown Ltd,Michael Gregory,tiffanysantiago@example.com,489.916.3756x28900,Government,8133,2,Bronze,2024-07-02,2023-08-23,Greenland,Louisiana,New Jeffreyfurt,6865865,4
68,Stevens PLC,Scott West,hooperjulie@example.org,666-508-8019,Manufacturing,7484,3,Gold,2024-08-25,2024-08-19,Tanzania,New Jersey,Annfort,6195071,8
69,Davis Ltd,Glenn Gallegos,amy51@example.org,(372)861-4933,Healthcare,7498,2,Gold,2023-03-20,2023-10-30,Vanuatu,South Dakota,Port Patriciamouth,9987084,9
70,Maynard Inc,Amber Mcconnell,xglass@example.org,001-592-621-6995x866,Education,5627,3,Platinum,2024-08-10,2023-04-11,Netherlands,Vermont,Meganside,5366549,9
71,"Robinson, Clark and Klein",Tammy Anderson,williambenson@example.com,001-315-287-9968x460,Education,2391,1,Bronze,2023-05-26,2024-07-01,Central African Republic,Maine,Dwayneton,5051637,4
72,"Johnson, Cervantes and Garcia",Nancy Hancock,yyoung@example.net,506-766-5800x4397,Government,9650,5,Silver,2024-07-20,2024-12-04,French Polynesia,New Hampshire,Lake Charles,3015798,9
73,Bennett Group,Dennis Martin,adam72@example.org,(759)309-4798,Government,5217,5,Silver,2024-11-29,2024-01-16,Solomon Islands,North Carolina,South Amy,6868215,2
74,Walker-Lewis,Isaac Robinson,wbarajas@example.net,7158739930,Government,1867,4,Gold,2024-01-30,2023-07-26,United States Minor Outlying Islands,North Dakota,Williehaven,7575204,8
75,Phillips Ltd,Jose Vaughan,teresaayala@example.net,3134361386,Technology,7533,6,Gold,2023-01-28,2023-02-23,Christmas Island,Kentucky,New Lorraineview,6938943,7
76,Mccoy-Hamilton,Michael Nichols,avilabrenda@example.net,958-814-4914,Education,514,4,Silver,2024-01-25,2023-04-10,India,Ohio,Susanberg,5100558,6
77,Spencer PLC,Andrew Armstrong,fmedina@example.com,653.568.2223,Technology,2981,6,Bronze,2024-09-13,2024-11-11,Mexico,New Jersey,West Emilyview,1747562,4
