lead_id,company_name,contact_name,email,phone,title,company_size,industry,lead_source,campaign_id,assigned_rep_id,lead_score,status,created_date,last_activity,converted_date
1,Adams-Rodriguez,Patricia Hawkins,xbriggs@example.org,9603784418,Garment/textile technologist,8461,Education,Trade Show,11.0,,78,Contacted,2024-02-16,2023-10-15,2024-08-28
2,Reynolds LLC,Ronald Byrd,darmstrong@example.net,9952598791,Insurance account manager,6667,Retail,Trade Show,20.0,35.0,88,Disqualified,2024-06-27,2023-06-28,
3,Boyle-Hernandez,Margaret Wade,duranlisa@example.org,+1-817-717-6171x511,Operations geologist,9817,Manufacturing,Cold Call,,17.0,29,Disqualified,2024-01-25,2024-08-14,
4,Hodge-Mckinney,Barbara York,emily68@example.net,262-983-7924,Interpreter,813,Healthcare,Referral,18.0,44.0,57,Qualified,2023-08-11,2024-04-15,
5,Sanchez LLC,Hailey Davis,leenathan@example.net,2517280661,"Buyer, industrial",1742,Technology,Email Campaign,7.0,12.0,73,Contacted,2023-03-16,2024-07-11,
6,Thompson-Strong,Alexandria Hernandez,connermonica@example.com,(841)949-2040,Lawyer,9730,Technology,Trade Show,15.0,,7,Contacted,2024-09-15,2023-03-11,
7,Krueger Ltd,Donna Pope,baileymadison@example.net,7244875654,Community arts worker,3704,Education,Social Media,5.0,45.0,42,Disqualified,2023-01-13,2024-06-26,2024-08-12
8,Chapman PLC,Kyle Wilson,cweber@example.org,800-808-0138x57400,Environmental education officer,5959,Finance,Partner,3.0,2.0,9,Converted,2024-09-27,2023-12-24,
9,Robinson-Bailey,Michael Anderson,samuelmerritt@example.com,566-921-7047x75817,Energy manager,7800,Finance,Referral,9.0,44.0,91,Converted,2024-08-20,2024-10-21,2024-03-27
10,Davis Ltd,Diana Miller,bkrause@example.org,+1-857-212-9806x6734,Physiotherapist,2209,Manufacturing,Social Media,,22.0,72,Qualified,2023-11-01,2023-12-26,
11,Johnson-Ho,Andrea Hernandez,karengardner@example.org,001-552-947-1562x6439,Information systems manager,805,Technology,Cold Call,3.0,9.0,55,Converted,2023-08-04,2023-11-29,
12,Thomas-Cox,Brian Silva,thomasfrancis@example.org,(429)298-5170x9588,"Editor, film/video",9659,Technology,Partner,3.0,16.0,11,Disqualified,2024-12-02,2024-10-21,
13,Bean Ltd,Dr. Evan Williamson III,gvaldez@example.com,524.989.0104x483,Speech and language therapist,8407,Manufacturing,Website,6.0,17.0,97,Disqualified,2023-04-09,2023-01-21,
14,"Lewis, Myers and Campbell",Angela Meyers,jonesmichael@example.com,965-589-6912x443,Early years teacher,884,Technology,Email Campaign,,,34,Contacted,2024-08-17,2024-11-16,2023-07-27
15,Baldwin-Miller,Sarah Clark,eross@example.org,589-326-8488x68272,Management consultant,3483,Education,Partner,,35.0,94,Disqualified,2024-11-16,2023-12-16,2023-02-16
16,White and Sons,Nathan Huerta,phall@example.net,(526)957-1465x870,Museum/gallery curator,7929,Finance,Partner,5.0,50.0,15,New,2023-05-24,2023-03-13,
17,Johnson-Smith,Kenneth Thornton,carllane@example.org,+1-806-836-3066x406,IT sales professional,3525,Education,Social Media,20.0,1.0,3,New,2024-03-09,2023-06-10,
18,"Carpenter, Obrien and Alexander",Brandon White,joshuakerr@example.net,864.765.7883,Heritage manager,246,Manufacturing,Social Media,2.0,47.0,13,Converted,2024-08-12,2023-02-13,2024-06-23
19,"Barrett, Johnson and Patterson",Kristina Tate,brownmatthew@example.org,997.366.8652,Operational researcher,1351,Manufacturing,Partner,3.0,50.0,100,Converted,2023-07-27,2023-02-04,
20,Hampton PLC,Kelly Walker,rodriguezwesley@example.net,758-756-2858,Art gallery manager,8063,Manufacturing,Website,,31.0,21,Disqualified,2023-07-26,2024-07-24,
21,"Gutierrez, Clark and Vang",Lisa Porter,tthomas@example.net,+1-901-400-0844x0591,Child psychotherapist,9004,Education,Website,9.0,41.0,8,Converted,2024-08-28,2023-04-20,
22,"Suarez, Buchanan and Williams",Cheryl Foster,kevinsmith@example.com,6444304547,Health promotion specialist,3200,Healthcare,Social Media,10.0,,47,Qualified,2024-08-15,2024-01-20,2023-03-07
23,Allen and Sons,Thomas Mccarty,timgonzalez@example.org,(454)914-5109,Investment analyst,5204,Education,Referral,,26.0,33,New,2023-05-01,2023-01-14,
