customer_id,company_name,contact_name,email,phone,industry,company_size,customer_tier,signup_date,last_interaction,country,state,city,annual_revenue,support_plan,is_active
1,"Rodriguez, Figueroa and Sanchez",Brian Yang,garzaanthony@example.org,538.990.8386,Retail,4567,Bronze,2024-07-07,2023-04-27,Jamaica,Michigan,Ericmouth,1814803,Basic,True
2,Howard LLC,Renee Blair,dudleynicholas@example.net,695-993-1034x1316,Manufacturing,5987,Silver,2023-09-28,2023-06-02,Ethiopia,Vermont,New Cynthiaside,4207245,Standard,True
3,Nelson-Schaefer,Colleen Nguyen,perezantonio@example.com,(541)639-5376x7242,Manufacturing,9587,Platinum,2024-10-17,2023-10-19,Cyprus,Florida,Daviston,1939607,Standard,True
4,Conner Group,Janice Carlson,jrice@example.org,+1-318-645-1462x70482,Government,8327,Silver,2023-04-22,2024-07-10,Mauritius,Wyoming,New Mariotown,1976828,Premium,True
5,Brown PLC,Angelica Tucker,spenceamanda@example.org,(578)624-8963,Education,6128,Platinum,2024-10-18,2023-11-26,Egypt,Iowa,West Andrewside,3960684,Standard,True
6,Zimmerman Inc,Taylor Heath,palmerjoshua@example.com,582.399.7376,Technology,7072,Gold,2023-11-06,2023-12-07,Saint Lucia,Arkansas,North Richardmouth,1933230,Standard,True
7,Herrera and Sons,Donald Wright,ramosmichelle@example.net,908-501-3267,Government,6580,Bronze,2023-05-01,2023-01-02,Iceland,Kentucky,Mitchellside,8264991,Standard,True
8,Robinson-Brown,Amy Edwards,silvawesley@example.net,(808)312-1913,Retail,4043,Bronze,2024-03-28,2023-11-03,Myanmar,Oregon,Sarahborough,5371130,Standard,True
9,Anderson-Brewer,Timothy Walls,ellisyolanda@example.org,783-684-2513,Healthcare,7189,Gold,2024-03-22,2024-12-21,Palau,North Dakota,Lake Lisaport,1837893,Standard,True
10,Preston Ltd,Denise Jacobs,james48@example.com,801-264-0052x427,Technology,1242,Silver,2024-02-03,2024-09-01,Myanmar,Oklahoma,South David,5271716,Premium,True
11,Clark-Wright,Richard Henson,vdickson@example.org,622.460.2563,Government,1781,Platinum,2024-09-28,2024-09-18,Cyprus,Illinois,Baileybury,3840036,Basic,True
12,Ross LLC,Tracy Ramirez,ifrazier@example.com,8147294019,Manufacturing,5149,Platinum,2024-03-18,2024-01-09,Hungary,Oregon,West Bradley,7415831,Basic,True
13,"Mcdaniel, Bentley and Mclaughlin",Jeffrey Rush,cindy14@example.net,665-864-8236x6299,Retail,16,Gold,2023-07-29,2023-11-10,Mozambique,Rhode Island,Stevenmouth,3685314,Enterprise,False
14,Hopkins LLC,Mackenzie Rogers,emilywalker@example.org,(500)837-9176,Education,6557,Silver,2023-04-18,2024-05-16,Uganda,Wisconsin,Port Ronaldburgh,8789889,Enterprise,True
15,"Wright, Charles and Bryant",Mary Travis,stephanie79@example.net,968.372.7743x48734,Manufacturing,4691,Silver,2023-07-18,2023-08-22,Mauritius,Colorado,East Jesse,2663646,Standard,True
16,Russell-Daniels,Daniel Fisher,gateskathy@example.com,805.946.6889x3734,Technology,6381,Gold,2024-05-03,2024-08-05,Saint Kitts and Nevis,Hawaii,Calhounside,552421,Enterprise,True
17,"Alvarado, Miller and Patterson",Catherine Green,jason55@example.com,264-517-0805x310,Healthcare,343,Silver,2023-06-24,2023-12-12,Brazil,Oregon,South Holly,6289034,Standard,True
18,"Stuart, Higgins and Strickland",Eric Lane,barbara66@example.net,219.731.4919,Retail,7028,Gold,2023-02-20,2024-04-17,American Samoa,Nebraska,Garciastad,7813146,Standard,True
19,Gross Ltd,Robert Medina,umarshall@example.net,253-914-7379x965,Government,5335,Silver,2023-12-22,2023-09-17,Eritrea,Michigan,Nicoleview,9424626,Basic,True
20,Miller Ltd,Justin Allen,fbrewer@example.com,9147363495,Education,9027,Gold,2023-09-14,2023-11-28,Gambia,Kentucky,North Jennifer,5394016,Basic,False
21,"Tapia, Vaughn and Lee",Destiny Lawrence,tina34@example.org,(924)308-2400x842,Government,210,Gold,2023-12-09,2023-11-18,Colombia,Arkansas,Shelleyfort,2014064,Basic,True
22,Jones-Soto,Chase Hart,christopher31@example.net,001-269-399-3867x74964,Government,3414,Silver,2023-07-13,2023-03-01,Dominican Republic,Idaho,East Aaronmouth,7983823,Premium,True
23,Roberts LLC,Jordan Mcdaniel,kristin93@example.com,683-624-2102,Education,2047,Platinum,2024-05-17,2024-05-25,Western Sahara,Louisiana,Kimton,7348238,Premium,True
24,Johnson-Perez,Shannon Matthews,keyemily@example.com,001-802-978-7429,Technology,7710,Gold,2023-10-26,2023-08-23,Bosnia and Herzegovina,Hawaii,Robertfort,4935492,Enterprise,False
25,"Johnson, Miller and King",Raymond Hancock,sandovalamy@example.com,6384597703,Finance,7188,Platinum,2023-03-30,2024-12-11,New Caledonia,Kansas,West Andrea,9365241,Enterprise,True
26,Gay Inc,Bruce Collier,scantu@example.net,001-446-377-3782x639,Finance,6808,Gold,2024-11-13,2024-01-06,Swaziland,Alabama,Jessicashire,9829499,Enterprise,True
27,Ryan-Reed,Kimberly Gibson,molly39@example.com,260.457.6627,Retail,9679,Gold,2024-09-26,2024-09-30,Kazakhstan,Connecticut,Smithberg,6978299,Standard,True
28,Harrington-Baker,Jennifer Miller,melissa86@example.com,+1-978-409-1343x1611,Manufacturing,4916,Bronze,2023-02-03,2024-08-04,French Polynesia,Minnesota,Ryanbury,9011492,Enterprise,True
29,"Sparks, Jackson and Miller",Lisa Allen,jesselittle@example.com,607-948-2175x946,Government,4959,Silver,2024-12-30,2024-09-14,Botswana,Kansas,Armstrongshire,5063914,Premium,True
30,"Foster, Smith and Grimes",Valerie Lozano,swall@example.org,+1-753-439-4210x470,Technology,4845,Gold,2024-06-29,2023-05-09,Bulgaria,Ohio,Alyssaview,2860597,Premium,True
31,Francis-Morgan,Victor Taylor,michelleramsey@example.com,+1-751-660-4817,Retail,6252,Gold,2023-03-21,2023-06-20,Anguilla,South Carolina,Rosebury,1160605,Enterprise,False
32,Banks-Wilson,Andrew Ferrell,davispaige@example.org,(275)786-9261x7964,Healthcare,7274,Platinum,2024-11-24,2024-09-16,Bolivia,Utah,Amystad,1115861,Enterprise,True
33,Donaldson Group,Daniel Fowler,williamsmatthew@example.org,001-431-283-9335,Finance,2380,Silver,2024-01-30,2024-08-05,Bouvet Island (Bouvetoya),Texas,East Alexisbury,9979312,Premium,True
34,Baker and Sons,Kelly Reese,xwest@example.net,001-917-283-9084,Technology,7857,Platinum,2023-11-08,2023-03-20,Rwanda,New Hampshire,North Marcberg,1201965,Standard,True
35,"Schultz, Kelley and Nguyen",Kerry Chavez DDS,mcguiredanny@example.net,+1-883-767-3657x6615,Manufacturing,4186,Gold,2024-11-27,2024-05-16,Lebanon,California,Port Christopherchester,1720082,Premium,True
36,"Brown, Frye and Hoffman",Jennifer Russo,uparrish@example.org,794-351-9832x7315,Government,4574,Silver,2024-08-12,2024-09-08,Seychelles,South Carolina,New Sarahview,585753,Standard,True
37,"Farmer, Dorsey and Bell",Charles Sandoval,thomascynthia@example.org,683-766-7525,Government,9309,Bronze,2024-10-06,2023-04-24,Saudi Arabia,South Carolina,Lake Christophermouth,7213787,Enterprise,True
